name,age,province,cie,money
Ilaria Tanzini,54,VC,PA15510AJ,1820.10
Etta Pertini,9,PN,UG39343SN,2367.94
Amalia Mercantini,7,NO,JV92693MO,321.17
Gioffre Angeli,12,CA,UY47717CC,2947.39
Graziella Gabrieli,36,CN,AB67029YU,1928.70
Amleto Bajardi,90,MO,WI41305JA,1394.36
Domenico Randazzo,31,BS,HN02657HY,1254.92
Pier Pisaroni,93,FE,ZX56896HT,1625.75
Cassandra Botticelli,15,,KB07369UN,1737.03
Adriana Cremonesi-Giorgetti,19,CZ,PZ92853SD,1202.84
Sig.ra Vanessa Boldù,59,BO,SK98465RZ,2418.13
Melina Iannucci,67,VC,JF79434RF,1778.76
Licia Battaglia,37,PT,CJ72462ER,
Griselda Fantini-Tozzo,44,BT,PP88892UM,3267.14
Amico Bombieri,77,,,1093.01
Benedetto Lerner,2,VB,FL52356HP,952.10
Caterina Camiscione,49,PA,JS55887YW,1742.19
,38,,PU11582OZ,938.32
Sig.ra Annunziata Farnese,69,TE,AN68030WM,1191.60
Clelia Parmitano,90,VT,YU05971KZ,1431.35
Michele Traversa,11,MT,ZS25587AN,1285.56
Uberto Zichichi,35,BS,OV28914AG,1267.40
Rosina Greggio,44,TN,JK09681IC,1034.50
Raffaello Bosio,-63,BS,JV33973VE,2034.72
Eva Galiazzo,55,AR,IN29680VA,954.44
Mariana Gabrieli,1,MB,IC22032BR,796.08
Greca Papafava,27,RI,HO85030VT,1957.88
Elvira Lopresti,4,CL,XI55320OY,1857.68
Cesare Schiavone,67,LI,RH51933AW,549.34
Leopoldo Ruggieri,75,BL,OK19383MK,
Marina Luciani,55,SI,TN96922IC,1775.51
Romina Babato,47,CH,NZ57915TF,
Dott. Loredana Murri,9,NU,PB92000OM,2624.14
Sig.ra Vanessa Boldù,59,BO,SK98465RZ,2418.13
Aldo Olivetti-Spallanzani,69,MI,KL72043TC,
Dott. Fernanda Capecchi,80,SP,SN74476VO,919.60
CrIStina SmiRNoff,52,PA,IF00021DG,305.51
Rosa Mancini,6,VS,TT07354KR,1428.54
Graziella Brambilla,88,MS,NM81430LY,1915.42
Lando Smirnoff-Balla,99,AP,KE46933NU,2502.88
Sophia Baroffio,51,RG,IS41160ET,1359.29
Leopoldo Moccia,-12,BL,JK48891OV,
Vito Ginese,56,BN,AZ83841BY,1067.48
Lilla Trussardi,18,SS,AO59253BQ,2216.15
Dott. Dionigi Rossellini,59,MB,HR46947VC,2400.25
Marina Luciani,55,SI,TN96922IC,1775.51
Gemma Alighieri,62,BI,KC42945QP,1251.81
Gionata Errani,54,SV,GE78205TI,1314.86
Viridiana Brenna,56,RA,GA33039BX,1533.22
Bianca Guidone,85,,MA38230WU,1558.97
Gelsomina Tognazzi,32,RO,EC43373ZL,1939.74
Germana Polizzi,65,FG,QE13552CB,2100.12
Jacopo Mantegazza,66,LO,IW16682LB,1194.80
Diana Romano,86,NO,VF37438JP,2044.90
Dott. Maria Greco,25,CB,YA76081RB,851.58
Nadia Vidoni,18,PC,CG87351HC,923.64
Paola Tarchetti,59,VB,VS50878EL,1553.43
Sig.ra Monica Pigafetta,15,CN,HS36977AT,1356.39
Sig.ra Eva Udinese,50,FC,RU04166PE,2383.21
Gianfranco Tirabassi,99,TN,WH85129WQ,1269.83$
Sig.ra Carolina Pometta,56,VT,JS97404WV,1395.88
Orlando Storladi,66,MC,,2228.06
Marta Peranda,35,CS,TC98707KN,1530.80
Evangelista Bartoli-Cavanna,69,CB,KV61517HW,1357.02
Sig. Roman Cavalcanti,33,CZ,UU31014PB,1869.59
Edoardo Trupiano,6,TN,HE63954DI,2044.02
Lauretta Maderno,97,RM,XG44472TA,651.30
Costantino Russo,46,GE,FO90826OU,-393.13
Oreste Murri,91,,YO20688JV,1684.75
Lilla Cabrini,55,CN,XO24197NO,2506.89
Giorgia Desio,26,,EF92969ER,3478.99
Marcello Padovano-Busoni,55,PO,IT40361AH,1909.23
Etta Pertini,9,PN,UG39343SN,2367.94
Alfredo Innocenti,45,FR,KI91781KI,760.49
Arturo Pacetti,61,CE,TZ01196LZ,
Sig.ra Alina Dalla,27,PA,LL39370LQ,966.30
uBALdO bOeZio,17,TO,MK51168FG,1646.41
Gioele Vezzali,96,TV,FR47398BQ,599.31
Enzo Caracciolo,61,PC,FS67039BG,856.59
Guarino Pasqua-Speri,6,NU,DS65578GI,2438.86
Lucia Spadafora,23,VT,JF48846KR,1763.05
Edoardo Ludovisi,93,BL,RL23742ES,1393.25
,73,EN,QP26928XR,1922.60
Stella Cattaneo,49,PD,RT19200KP,265.38
Leopoldo Moccia,-12,BL,JK48891OV,
Lidia Tassoni,93,AN,VU45414QM,1617.19
Melania Lupo,98,VB,ZF81062DZ,1973.02
Dina Fantoni,33,NU,IN06636UP,2138.96
Rembrandt Guarato,94,BS,RO34988ZB,1538.18
Nina Tasca-Bignami,7,PU,GF85132OB,1691.69
Daria Balbi,74,LT,VM12747OC,803.82$
Luigina Federici-Ziani,27,PR,EX61918FJ,1805.38
Liana Finetti,26,CL,LD10046AC,436.44
Stefano Sbarbaro,10,CI,ID26682HQ,1508.42
Martina Giannini,61,IS,MF52461LF,1547.91
Aurora Casarin-Gagliano,36,TP,FM45192OM,3846.75
Carmelo Barsanti,73,SA,OD38204SA,2007.87
Dott. Maurilio Liverotti,82,AL,LF99464DZ,2389.71
Biagio Farinelli,91,SI,BL34807ZM,1588.24
Sig. Carlo Chindamo,79,CS,FV52500IP,
Fiamma Ferrara-Ziani,66,Cr,FX94683RD,2630.24
Marina Pelli,35,,JS21092QN,1806.99
Sophia Sgalambro-Fittipaldi,46,AT,WW64154PW,1852.57
Sig. Ermes Callegaro,17,BG,SZ90131GJ,849.10
Piersanti Filzi,48,BS,HZ13116RS,2538.48
Sandro Iannelli,97,PR,UN49475WB,685.23
Gustavo Borrani,5,RO,FE32178YF,664.65
Priscilla Santoro,76,RE,KY73860KP,1189.64
Sig.ra Fernanda Rismondo,94,TN,BD94094YT,509.42
Costantino Cilea,9,LC,DQ09345LB,1734.47
Nanni Orsini,97,AL,QO07251SK,929.69
Cecilia Legnante,1,VC,SP85701UJ,1984.62
Fiamma Iannucci,41,PG,UW79527ZI,2275.74
Graziella Brambilla,88,MS,NM81430LY,1915.42
Danilo Tomasetti,49,BR,BO01983XP,651.94
Bianca Donarelli,34,AR,UG99053WG,1741.75
Morena Gentilini,26,AL,TS72078FM,1944.93
Atenulf Caruso,16,KR,CF48785OC,2196.38
Luchino Fischetti,-64,AP,VW39643XW,1402.14
Ilaria Tanzini,54,VC,PA15510AJ,1820.10
Amalia Botticelli,47,MT,RM82162AY,2633.27
Allegra Berengario-Caetani,70,RO,se53224rf,1112.60
Amanda Procacci,15,LC,HE84604TV,989.06
Lilla Caetani,91,CE,RG70991XK,1135.47
Marcella Tron,42,LC,BD28594TX,1917.32
Patrizio Tosi,63,FE,EH28922ZG,1734.83
Maria Russo,27,BT,QD85393OD,1215.00
Sig.ra Nina Govoni,76,RI,PE26106HZ,1724.47$
Diana Rosselli,1,CI,VM50424LD,1183.55
Olga Carli,37,VB,IR96501OV,810.35
Riccardo Nadi,27,PE,NC52351TB,2323.82
Dott. Patrizio Lancisi,66,,LQ03339PA,1001.81
Alberico Solimena,45,RC,XY69249YI,2125.22
Gioffre Ruberto,91,PG,CP19949EO,2771.74
Marisa Trapanese,45,VC,XY57702VN,1372.29
Alessandra Capone,68,RO,BJ89296MP,2109.03
Gioele Vezzali,96,TV,FR47398BQ,599.31
,58,AN,CN18469FJ,614.17
Dott. Ninetta Gelli,78,BS,FA61099ZL,620.61
Gianluca Fallaci,1,NO,UL42618KS,2173.87
Gianfrancesco Bocelli,45,LE,XK96430DZ,1934.86
Temistocle Cantimori,80,SP,ML94453ZR,2057.79
Olga Canil,75,TR,BG40898AM,1433.81
Saverio Schiavo,95,PO,YK93860UO,748.98
Antonio Cibin,93,CS,QE22521WD,1713.54
Romolo Petrocelli,25,AO,EO48517UP,
Lilla Caetani,91,CE,RG70991XK,1135.47
Liberto Alonzi,64,CL,OE77034GX,1904.63
Rocco Ginesio,9,GO,JK94165KN,1646.67
Giulia Vespa-Bataglia,53,VV,YN73819OG,1752.25
Stella Gagliano,87,FM,MY62212UB,1543.90
Tiziana Catalano,47,LU,HZ72684PS,1913.97
Tiziana Camiscione,4,TO,ZX43583TF,1406.93
Armando Pertini,66,CI,IB67619FR,1815.09
Giulia Boccaccio,65,NA,FZ80702OI,1044.73
Patrizia Pedroni,62,IM,GS15087EV,1667.50
Giacinto Rapisardi,68,ME,cY94366zB,1859.28
Dott. Gianna Ludovisi,97,VT,ZM37434NK,1488.72
Annibale Fagiani-Vergerio,77,MI,KW37910BV,1337.61
Melania Salieri-Ginese,35,LO,KI04776QV,2645.18
Concetta Cadorna,97,PO,UW82951KP,1454.86
Antonella Venier,69,SR,DS27375QO,817.09
Dott. A. Lopresti ,79,RA,WS45821ME,2357.89$
Annunziata Carpaccio ,81,AQ,FV46324RO,966.77
Marina Trombetta,5,VC,BW65970OJ,$2406.30
Lolita Beffa-Einaudi,6,TP,SS36562IE,1056.07
Maura Aporti,67,PU,MZ41842NO,1016.27
Dott. Domenico Giannini,64,BT,SS90837ME,1515.84
Sig.ra Donna Grimani,33,MO,US51276NF,852.35
Coluccio Maccanelli-Nicolucci,22,RC,GK37506XL,2260.15
Gabriella Pascarella,75,RA,MY38915NO,
Veronica Corbo,19,BS,EF11047ZN,2348.68
Dott. Silvestro Legnante,40,MO,CM98396DC,$1975.18
Vanessa Soderini,15,UD,HQ59871SK,1856.29
Sig.ra Luigina Scaduto,68,BO,TL44421EW,2473.04
Fausto Proietti,3,VS,VU43113QA,1939.19
Mirco Seddio,10,SO,LL32594XV,2009.38
Puccio Gatto,39,MS,ZW87205IY,966.71
Eleanora Rosselli-Pellico,25,RG,FV55468MX,1038.13
Vincentio Borrani,39,OR,JP45655IL,1153.99
Corrado Turci,25,LT,NS37022UN,2037.87
Piero Vento,57,,FE78050FM,1189.72
Eleanora Marini-Dellucci,83,CN,AW62916ZW,1088.57
Sig.ra Paola Costanzi,89,PE,RS08186GV,2000.82
Augusto Tomei,28,AR,ZW89013UU,326.62
Dott. Sylvia Scarponi,44,CB,IH90996EC,2164.96
Melissa Inzaghi-Petrucelli,58,AQ,EK11179ID,1425.42
Tina Bonatti,36,RM,GM15960XN,
Marcella Letta,77,FG,CL64325PM,264.18
Sole Spanevello,95,,WA93401DS,1568.53
Tiziana Grisoni,76,FC,SM33148RF,1100.08
Adelmo Borsellino,20,VV,OW55424DX,1499.71
Dott. Concetta Marrone,47,,LS13428FD,1486.55
Carolina Stoppani,2,PZ,SU02229SZ,1236.38
Dott. Marina Almagià,63,EN,TX92280EM,
Imelda Falloppio,96,AL,LZ70184OJ,1648.20
,42,AN,JH96481TX,1734.70
Evangelista Majorana,73,TA,GV97449EH,
Graziano Polani,59,GE,OQ49152FK,2376.50
Renzo Giannetti,36,LO,VU62030SV,1667.46
Isa Pareto,10,NU,ZL13545FV,2611.86
Simone Fornaciari,85,AV,BH15628VR,1768.76
Beatrice Silvestri,,SA,ZX94986OU,1357.52
Antonietta Randazzo,13,VC,pe27162IJ,
Sig. Dante Bonomo,12,LC,WW02795VD,3093.39
Ettore Argenti,51,CO,RS95890AF,937.29
MAurO gAlileI,75,CL,Ca05642HM,427.90
Romina Cannizzaro-Sanguineti,39,VT,QC24234HG,1136.41
Gioffre Rossini,53,TA,HJ72012TG,1872.67
Nanni Piacentini,7,VB,YM56709AY,962.59
Vito Ariasso,26,TP,RX49149IU,1941.69
Paloma Cianciolo-Ruberto,-81,TO,AD80511TM,1951.45
Bernardo Randazzo,51,FI,CT28073CW,2365.89
Raffaellino Dellucci,20,AV,US19913LU,
Fedele Mocenigo,54,TO,NN89885UM,977.64
Dott. Martino Volta,38,AP,HP58974QG,869.70
Gemma Traetta,25,PD,YV37458EI,1727.90
Maurizio Toldo-Jacuzzi,33,BA,VR22012EU,1554.46
Annalisa Comboni,14,TN,OL07304NY,1907.74
Piermaria Scaramucci,65,OT,WU45879TP,1628.30
Sig. Massimiliano Tonisto,1,BT,YW16783MA,605.40
Daniele Lerner,14,AR,RA41620QW,1536.37
Sandra Garrone,73,CB,FK46404JU,2517.77
Patrizia Caccianemico,2,PA,KK71880SW,1197.12
Serena Bulzoni,13,FI,HS37665XG,2072.44
Donna Scarpa,15,GR,qp25545YK,1533.58
Sabatino Bernetti,41,AQ,CT16875TV,
Gianpaolo Veltroni,22,FG,SG31882MA,839.96
Sig. Lodovico Tarantino,39,BR,QX56643LY,1153.23
Camilla Balbi,37,AT,BE98423NQ,82.45
Fiamma Monteverdi,26,VT,TU05414UU,3143.55
Guglielmo Badoer-Versace,50,SI,SX91070VT,1541.28
Pellegrino Doglioni,55,VA,HB99509VJ,884.12
Federica Nitti,60,BN,MN89311CY,1125.85
Etta Piccio,,AL,SJ27593LO,1227.27
Sig. Piero Torlonia,,TN,RZ80198QF,1314.64
Venancio Cianciolo,6,BS,TZ65038YX,1443.76
Ippazio Branciforte-Vigorelli,19,GE,YL93994II,1831.61
Roman Morellato,77,SS,,2466.35
Ippazio Bellò-Romano,76,PN,MK59053ML,1792.21
Natalia Grisoni-Nordio,70,IS,UV53742TW,
Lando Federici-Marconi,46,TN,UQ54326PO,1562.19
Lamberto Cipolla,56,VA,IJ23728uh,1112.13
Margherita Trussardi,22,PO,YU38289HV,1461.26
Giulio Corcos,94,VI,EA83503CG,460.06
Patrizia Zito,5,IM,IN23231VQ,1849.57
Marcello Monaco,84,FM,KD59055CD,980.56
Eleanora Rizzoli-Marsili,9,VA,AO50890GZ,229.90
Dott. Berenice Petruzzi,38,MS,HK14598AB,1721.54
,2,BN,ZH88280FU,
Ninetta Raimondi,83,TE,NV12241HF,1398.99
Dott. Lucrezia Cavanna,79,FI,GT59876XZ,496.56
Erika Casellati,78,RC,MD56627IY,3180.22
Monica Guarato,24,VI,FR37478RM,1077.94
Nadia Traetta,97,MC,ES29612JH,1804.43
Luchino Odescalchi,43,SP,YA05324EW,455.72
Dott. Claudia Molesini,87,SV,VE47111OW,2480.54
Giovanni Franzese,86,LI,LY00639SS,1216.45
Ermenegildo Visconti,52,TS,SB16801PY,725.38
Antonio Pucci,3,AV,VH88335HY,2660.72
Irma Lamborghini,11,BL,UJ85802RJ,1651.58
Giampaolo Basadonna,4,CB,IJ72538UP,2317.30
Pompeo Abba,22,PZ,DO97337NI,1405.06
Etta Vianello,52,,XR52981OZ,552.10
Maurilio Trussardi-Oscuro,,TP,BP62749IT,2144.71
Daniele Soderini,28,PG,OH22618QU,2699.57
sTefAniA filzI-MARConI,-30,RI,HO17226IR,1310.37
Dott. Romina Ponti,62,TR,OV51128UD,1400.95
Piero Fischetti,51,BO,DS25573WU,713.74
Pierangelo Santoro-Sorrentino,91,VR,MG39118BB,1540.58
Sig. Lucio Gaito,21,CB,JT64787XR,1979.97
Alessia Santoro,87,EN,CR07661YJ,1058.96
Marissa Verga,85,AN,AF18347TG,2808.81
Elladio Pausini,61,AT,UN11448DQ,1441.91
Giacinto Bulzoni,49,ME,FA77749XR,1718.60
Severino Boitani-Casaleggio,65,BT,WI69666XZ,2423.61
Leonardo Rastelli,23,FC,BP32552VC,283.87
Ansaldo Scaduto,78,FR,XY58938FG,906.07$
Sig.ra Adele Iannuzzi,68,SI,lu02208lh,1848.20
Flora Tafuri,43,GR,FX94735BT,704.89
Sig. Patrizio Moneta,,RC,JK26384WI,666.47
Dott. Bianca Seddio,78,OG,WQ67489TB,811.17
Sig.ra Ninetta Petruzzi,12,AN,GW95246IT,904.02
Azeglio Frescobaldi-Peranda,61,PA,FC10984WB,1633.71
Agostino Roth,99,VC,SO34770TJ,2017.24
Venancio Scialpi,98,RI,GC98709IU,549.00
Annibale Redi-Canevascini,62,GR,BQ97747NY,1693.87
Gloria Pirandello,70,NU,NQ75162TI,1672.01
Piero Valguarnera,81,VS,XP21660EN,1084.75
Fernanda Ziani,40,MN,WX71956DK,777.68
Antonina Stoppani-Fabbri,45,VI,CD74018XP,1425.68
Carla Garibaldi,25,,SX52832ZD,1790.68
Annamaria Tolentino,27,CE,XN23140EI,1290.01
Annunziata Respighi,60,BA,BV23367KC,2158.04
Giulio Scarlatti,90,LE,XR34363NA,806.70
Sandro Modigliani-Piane,33,RG,HO81196GE,2313.30
Pierina Callegari,94,AP,XL04038JI,1601.40
Edoardo Montesano,-72,LU,NE46797SV,1075.07
Fedele Casalodi,50,MB,FW09154IE,1557.06
Vincenza Soranzo-Vivaldi,37,GR,GD61650LL,1448.47
Antonello Prada,16,GE,DZ95057AY,2204.30
Adamo Nonis,51,EN,XW09319RL,917.22
Dolores Cassarà,36,LC,YS53925NJ,884.68
Imelda Natta,44,SO,ON89433TT,
Natalia Venturi,97,PO,KW14253ED,1982.32
Silvestro Civaschi-Gatto,11,PU,XN32579RH,1486.37
Riccardo Errani,74,TP,VB63394BF,1628.06
Milena Comboni,22,MT,XP37550VJ,
Carmelo Gatto-Giammusso,51,KR,ZZ52982LK,1591.48
Stefania Deledda,37,LC,RO77166NK,1922.23
Fulvio Viola,28,NO,WP90424EQ,1891.06
Sig. Ronaldo Roth,67,KR,FN82704MK,2137.96
Rossana Beffa,78,RO,LB29461OO,1496.17
Sig.ra Greca Gelli,-83,VE,GF42132LE,-517.81
Tiziano Mortati-Gabrieli,54,PO,NU17674GZ,831.49
Elvira Ostinelli,29,TS,IU83415KE,
Saverio Gentili-Tamburi,16,OG,ZR84265FK,1189.18
Matteo Scalfaro,65,BT,PR69203ZB,1190.62
Milena Iannelli,69,TE,HO99219HU,1996.86
Guido Rosiello,-11,CB,RA26373EY,558.20
Sig.ra Renata Montalcini,17,GO,DQ31692PX,368.54
Adamo Zabarella,45,MI,VS12106AH,
Maurilio Gulotta,70,LU,HI87878AL,1162.65
F. Satriani-Giovine ,89,SS,UX05452SW,1332.85
Vito B. ,36,,BD60662JP,1009.18
Ettore Antonello,78,LO,OL89800XA,2445.23
Amanda Raurica,99,LT,WS60308WA,1005.22
Sig. Pierluigi Bataglia,23,BS,ZU18720BP,1535.07
Amanda Miniati,18,SR,JO77604TS,257.73
Valentina Calbo,63,RC,HV10168BQ,621.21
Sig. Jacopo Calgari,84,PC,JB56918IY,1657.90
Dott. Antonietta Zecchini,54,UD,AT19386JP,3195.80
Serena Gualtieri,67,NA,ZI00542AW,1578.24
Dott. Filippa Petralli,56,LE,MR54369JD,1881.44
Rita Soderini,85,PA,SV08379GA,1911.73
Laureano Scaduto,73,PT,DU45552MC,740.41
Dott. Sergius Morucci,27,LE,TV59780XB,2438.95
Melania Oliboni-Vespa,26,PA,LQ92199OL,1495.70
Rossana Paltrinieri,36,BN,LW63959ZL,-100.59
Venancio Pasqua,29,NA,GS49719ZR,1924.24
Raffaello Condoleo,37,BN,VA80170JY,924.29
Raffaele Fanucci,39,BT,VP91644OC,1751.12
Maria Tacchini-Verri,89,CL,HK76117AZ,2635.23
Sig.ra Mariana Scaramucci,61,MN,JI49062FL,1086.86
Dott. Giacinto Rensi,8,TR,TJ93970OY,1710.03
Pietro Contarini-Cuzzocrea,94,CT,RH76406MU,1766.17
Raffaellino Tozzo,23,AL,CS24352UP,1115.30
Marisa Trussardi,64,MS,HC95135RZ,895.75
Dott. Ermanno Martinelli,4,OG,ZL92026OG,1452.25
Delfino Biagiotti,74,CN,EF84503QD,1491.38
Ernesto Ricciardi,31,CE,BO30531AA,2429.97
Fiorino Zampa,31,LO,FI48393CN,1882.63
Adele Majorana,90,PA,SA07070CP,1740.00
Guido Falier,15,og,OP64120LT,16.71
Anita Cardano,48,AN,QI44810HJ,1320.86
Agnolo Montanari,17,LI,KF04867XD,1218.85
,70,,YE21330RR,2330.38
Diana Badoer-Doglioni,8,MT,ST01131IX,1302.50
Lisa Vecellio,1,KR,OU79786YI,1434.69
Pasqual Comeriato,79,BG,CC59692PK,1341.11
Dott. Giovanni Toso,49,CO,EX92070LV,2271.56
Liberto Asprucci,23,AG,ZG57933ZY,1132.87
Ludovico Novaro-Flaiano,38,TV,OS62954TE,
OrnELLa SaMEle,4,TE,SD90884TH,
Antonietta Gaito,95,BT,QH05053QF,1347.35
Bianca Nolcini-Stein,48,BO,MD96379NZ,-1140.41
Umberto Cerquiglini,,TS,TM44671ZB,1052.67
Cecilia Luxardo,4,LO,AR16816OA,1330.91
Graziella Cantimori,15,SS,GQ91162LY,447.57
,24,MO,CH07900PF,1569.69
Giada Mercalli,64,LC,CF52036QT,935.60
Dott. Uberto Trapanese,87,AT,OS97433FE,2445.46
Antonietta Ludovisi,13,GE,AT13417SG,1219.87
Gloria Ludovisi-Bramante,49,,WK59973SN,2762.57
Marcantonio Comisso,35,CH,JG06341YC,1338.03
Olga Salvemini,25,BT,QY39547VG,1990.43
Paolo Falloppio,49,CO,BW66619SJ,2279.32
Massimo Sagese,36,BO,LW48077EU,1053.58
Gloria Giannelli,20,Or,NZ94087UA,1091.08
Ludovica Zanichelli,90,EN,KD29679CS,2424.52
Giorgio Soffici,14,MC,ZX63997SN,2389.78
Dott. Costantino Montanelli,22,PO,QQ14914UC,2820.14
Pomponio Fantoni-Tamburini,,CR,DY73720XK,1125.55
Sig.ra Rosina Gadda,42,BZ,GL89429XY,856.10
Amanda Guidotti,7,CL,KG58122IP,678.97
Francesca Cabibbo,62,RA,RD88219KG,1232.65
Sig. Alessio Modugno,-62,SI,LI89884RE,2319.04
Ubaldo Bruscantini-Sinisi,12,RI,ED55516DS,1084.01
Gianna Modiano,14,AV,EC40993FO,1234.29
Caterina Majorana,22,PG,ZF68767VR,1897.85
Massimo Berlusconi-Guinizzelli,,RN,ZF41176JS,2512.55
Alina Lucchesi,72,MB,XG98177JG,1249.61
Ornella Fibonacci,71,SS,RR30087SQ,1837.67
Lauretta Tozzo-Morandini,74,Sp,QD71517NQ,711.90
Sig. Salvatore Nievo,71,VC,WN84309KN,1290.27
Giorgio Chiaramonte,13,CB,FK98739PM,
Ansaldo Pavarotti,62,RO,YZ83764XH,
Gianmarco Toninelli,59,PZ,HY01295FQ,1134.05
Milena Salandra,55,VS,MQ54033IM,1263.47
Ermanno Telesio,28,NU,CK51915CW,1007.03
Milo Zabarella,26,RE,YM62314QV,1561.52
Veronica Coppola,28,GR,RK81795SK,1386.72
Pomponio Calgari,45,TS,NF86019GX,2179.31
Rosario M. ,61,IS,ST80195OU,1480.37
Tatiana Sansoni,41,TS,LX85906VF,1744.46
Manuel Oliboni-Borghese,89,CZ,PD93922VR,1515.22
Dott. Alberico Fiorucci,16,TO,JW38741XB,1351.63
Greco Trentini,44,FI,OC68710ZT,2420.62
Serafina Sauro,39,SO,SX34468FZ,1785.91
