name,age,province,cie,money
Elvira Borzomì,67,OT,KF99347ND,791.62
Dott. Elmo Luzi,15,RG,OB62774XG,1819.97
Giuliano Conte,71,AR,xE26365KW,1302.18
Salvatore Gianinazzi,98,CT,FH92824CK,1181.18
Sig.ra Vincenza Pascarella,40,CB,BJ41912OM,123.59
Annetta Barsanti-Bulzoni,81,AT,CL88085OX,2301.96
Lilla Albertini,51,KR,LB85712CN,2154.14
Nicola Cusano-Zaguri,16,TV,HV81143PX,1550.02
Elmo Montanariello-Binaghi,4,GR,fe51142dE,956.07
Dott. Carla Casalodi,79,TE,VQ46625KR,938.08
Amanda Verdi,20,CH,GB05306EK,1521.53
Rossana Babbo-Pellegrini,83,BS,YL61003OJ,2563.05
Luca Pignatti,29,LI,BL67014CG,1693.33
Laureano Broggini,48,VI,VG06042EV,1189.73
Dott. Daniele Vendetti,17,CL,,1459.32
Cecilia Trezzini,,AL,EV62856ZY,$1201.06
Irma Galilei-Trentini,11,TR,NM04518JJ,1705.08
Nadia Nolcini,95,LO,LB56043MG,2377.04
Alderano Montalcini,,VV,SI55965DQ,362.11
Dott. Maria Vasari,49,AL,EX15861XO,3038.75
Marissa Vattimo-Semitecolo,14,,ZE79711AO,929.33
Luchino Venturi,41,FM,VM11277QS,
Roberto Endrizzi-Gargallo,3,PA,UP22773MB,1294.12
Orlando Giusti,68,TP,ZV23371ZV,1699.31
Gianluigi Toselli,55,LC,YF41073UN,1544.32
Ricciotti Delle,81,VE,PC25117LZ,2571.35
,37,RO,JG60993VL,1893.84
Galasso Stoppani-Barracco,1,PO,,1950.81
Angelina Paoletti,2,,YG95483UN,
Manuel Salgari,80,FI,GY92267XB,2860.92
Serena Ceri,93,OG,YH81035XD,2016.26
Dott. Lucio Broggini,70,FC,IG18276GB,2011.57
Dott. Alfio Canevascini,97,CN,EF97951YB,1542.68
Emma Esposito,53,LO,OO78250HD,2033.59
Maura Cianciolo-Pagnotto,10,TR,KX14184OZ,
Nadia Strangio,40,PR,PR67316KQ,1256.16
Chiara Rossetti-Mazzini,67,CN,XD28615UF,1510.86
Lina Malatesta,10,PC,LX10936PM,1142.67
Dott. Gianfranco Bazzi,55,,QO46095TQ,1192.36
Rolando Traversa,69,,VO32241ND,1564.54
Lorenzo Roccabonella,35,PD,WC71556BA,$1274.84
Sig.ra Daria Guinizzelli,49,MN,XG12525NG,2876.48
Emma Fracci-Bocca,62,KR,KS84808ZM,1307.76
Renata Siffredi,28,PU,JC11125VA,1666.37
Sig.ra Filippa Castellitto,-85,LU,DS50277QF,1618.80
Annibale Barsanti,48,PR,LW91974UH,1218.23
Ugolino Garibaldi-Antonacci,77,MB,RO06320YS,2096.83
Natalia Sgalambro,19,AV,NR07850LQ,1701.38
Fabio Ritacca,2,BA,RW46514AM,1506.44
Victoria Troisi-Boito,36,VI,VB24629KD,1824.22
Sig. Vincenzo Ubaldi,36,AL,NY74690DH,998.37
Dott. Oreste Giannotti,87,PC,CI67350OS,2511.61
Antonietta Corradi,28,PI,NZ92457MH,1780.30
Laura Antonioni-Naccari,-68,CE,CH26697WO,1532.60
Alina Fagotto,19,PC,LN46802UL,694.80
Loredana Tropea-Amato,12,UD,YM07492UG,768.98
Laura Niscoromni,14,SA,DY74397CG,1658.88
Diana Capuana,38,,QY05534LN,2721.56
Fortunata Peranda,65,RE,LX13959HI,890.53
Gino Mattarella,5,MN,QX86395EG,1220.24
Alessandra Roth-Sabatini,62,EN,AB26242TT,1918.43
Luca Fallaci-Borgia,20,,KZ02392KB,1327.53
Sig.ra Nina Marini,53,PO,WV63367AL,2433.00
Rossana Babbo-Pellegrini,83,BS,YL61003OJ,2563.05
Lucio Scalera,9,GE,WB74798XO,2843.15
Fortunata Peranda,65,RE,LX13959HI,890.53
Ronaldo Borroni-Martinelli,21,VA,OQ83533HO,1390.17
Agnolo Gritti-Disdero,2,VI,EW69978WY,1215.41
Niccolò Sandi,89,MN,TJ72643MO,1664.54
Gino Redi,16,CE,IJ83784TC,1637.69
Stella Caruso,76,CR,VS47709BT,716.88
Patrizia Molesini,43,MS,HN20940UB,1120.20
Toni Bettoni-Scalera,,PD,KA08976FJ,2108.80
Irma Garzoni-Zola,19,tA,FS63489RG,1673.14
Angelina Muratori-Scamarcio,58,CI,MF62642YI,1990.69
Delfino Orlando-Turchi,97,BS,DN01036UR,2326.84
Tina Natta,10,FC,DE93560WW,1953.58
Fedele Grifeo,54,CS,SF94168WH,707.01
Gelsomina Vanvitelli,49,CS,DL71399TW,632.02
Adelasia Nicoletti,13,,EE67668CF,2079.94
Natalia Tafuri-Pedrazzini,19,VE,KJ05411ZD,1077.61
Stella Troisi-Marinetti,35,CL,IX44800GN,1292.06
Ilaria Bonanno,39,SR,CU08691AP,1095.39
Lucia Bragadin,68,PN,MX79185YB,1517.48
Susanna Paganini,43,FG,FC68629HE,1785.96
Dott. Fiamma Cutrufo,,VA,FZ58146NX,1517.17
Dott. Alessio Beccheria,,CI,JH19073EP,
Sig.ra Nina Cuomo,60,PA,XD96455SI,1037.88
Donatella Nitti-Camuccini,14,PE,NP36900KB,522.68$
Dott. Simone Serraglio,52,PG,KZ82474WQ,2121.00
Ruggiero Sordi,97,TO,TP52212PH,1234.04
Dott. Fortunata Mengolo,79,PV,FS35371QL,2148.88
Dott. Viridiana Bajardi,91,VI,BG61156RG,1061.36
Romana Pratesi,56,TN,BY08463TH,1386.51
Diana Tonisto,25,BN,ZE20276JZ,2755.63
Elvira Lussu,65,RO,LI34375TI,1485.97
Orazio Marino,44,AV,YY03696PC,1747.06
Dott. Elmo Luzi,15,RG,OB62774XG,1819.97
Luisa Ferragni,56,VA,PU62846BM,$1926.94
Susanna Tonisto,98,ME,MF47908XJ,1744.17
Ricciotti Moresi-Canali,33,TR,XL85742HS,1563.29
Luigina Parini,51,AV,TB85080ZS,221.82
Fabrizia Dulbecco,59,FG,DX45583RX,$738.75
Gianfranco Soprano,50,AN,YZ67390QX,1247.28
Sig.ra Caterina Battaglia,1,VI,JI65100VV,
Angelica Trapani,46,MO,NP47776XQ,2415.70
Edoardo Deledda,30,MT,IU89407FP,1803.34
Nicolò Virgilio,91,VA,,526.94
Stella Caruso,76,CR,VS47709BT,716.88
Achille Martinelli,41,FC,MQ51080UJ,2157.30
Adriana Coardi,91,MB,FH63936QC,1497.39
Gianpaolo Turati-Tosi,38,,QV87555SK,342.81
Livio Lippomano,41,GE,XT73977ST,1907.55
Nicola Gibilisco,77,OG,RG32562RD,2663.14
Iolanda Conti,54,VV,GV15927PU,1970.62
Panfilo Magrassi,58,CT,IQ61715TG,1663.70
,33,SO,GM08021VQ,2576.63
Ilaria Bonanno,39,SR,CU08691AP,1095.39
Donna Iannuzzi,,PN,DL12112KE,1932.47
Romina Rosmini,83,PC,QN97306GZ,1211.41
Susanna Venditti,71,AL,BO73522IT,1439.95
Angelina Spanevello,43,MS,CB09594EQ,421.54
Gelsomina Muratori,78,IS,KD12610WA,1495.01
Pomponio Caruso,99,GR,DY30761YP,1804.08
Severino Malipiero,69,AT,LE85086VE,1041.00
Sig.ra Gemma Castioni,72,MB,MD69685ET,2107.84
,60,SV,DW91498MY,2084.91
Stefano Pirelli-Romano,35,RN,ZD61233QX,211.73
Matilda Dandolo-Sauli,42,VA,LR68002DL,1785.78
Ansaldo Majorana,51,GO,WA96364TM,1102.88
Donatello Tuzzolino-Longhena,82,,NH30293UG,900.21
Lamberto Proietti,21,BT,LL86437XA,1914.02
Annalisa Ficino,83,NU,RT31264WI,1799.40
Sig. Elladio Mozart,55,CA,MW41119QR,2346.05
Gianfranco Soprano,50,AN,YZ67390QX,1247.28
Guarino Condoleo,51,NA,EY05284VI,1866.73
Filippa Strangio,77,AT,ES32798DN,1188.11
Cecilia Tosto,43,BR,OG97722RS,1193.78
Dolores Petrocelli-Filzi,55,AR,IX60466WR,624.04
Gelsomina Trapani,14,AV,DF45794LI,1340.18
Paride Longhena,56,PU,CJ89774GX,
Gino Gemito,67,AV,GD37068JF,811.98
Sig.ra Rosalia Trillini,39,OR,AN33072ZK,2107.96
Alina Tiepolo,20,MO,RT24161TU,2952.31
Filippa Mantegazza,37,BT,IS46988RG,2058.29
Caterina Comeriato-Bandello,6,MS,RS03009VT,1444.24
Gianfranco Tarchetti-Eco,21,AP,QM71825WH,728.26
Evangelista Biagiotti,7,CI,FB57763UA,1730.26
,27,NA,QY18859AD,1074.52
Calogero Trebbi,98,SA,PW35122BN,950.56
Luciana Ortese-Carriera,87,PG,TK13639WI,922.89
Toni Renault,21,FC,DW86839AW,1013.36
Salvi Barcella,29,BS,WB53040BX,1541.38
Sig.ra Isabella Rossetti,64,VB,GO05503VP,2311.75
Rita Camanni-Pietrangeli,91,PU,ZP96719AS,2483.88
Ugolino Zoppetti,60,MB,TA04081DO,753.79
Sebastiano Filzi-Babbo,65,BR,YU27111KM,1269.68
Rita Zanichelli,81,,KH43532VW,2145.32
Dott. Gioachino Missoni,18,TE,RH94796VC,137.61
SanTe RiENZo-MONDUzzI,-3,BS,ZY57203HA,1559.08
Sig.ra Alina Borromeo,62,VV,DV17445QR,3084.23
Graziano Fagotto,40,CN,LV92423NX,
Dott. Romana Maspero,6,FR,YH28583HS,526.13
Benedetto Magnani-Rocca,31,LT,IQ15850XS,-138.60
Dott. Giosuè Gullotta,22,MO,KG14586HF,1038.22
Sig.ra Ida Tomaselli,77,CL,MJ44462LV,1496.07
Sig. Leone Alfonsi,64,RM,VP06462CK,2423.01
Giosuè Luria,20,CS,XC14464ND,1239.64
Rosina Sanudo,38,LE,VU33200JW,3229.84
Domenico Rusticucci,99,AG,KR36451GR,1288.63
Bartolomeo Durante,41,MI,KI96482QY,624.68
Gianmarco Ferrata,1,EN,CS98952MO,1206.34
Sig.ra Rosina Fabbri,78,BG,BY42845TT,2347.79
Gianluca Semitecolo-Passalacqua,52,VE,RB99059FM,
Melania Scotto,-33,CR,EL61244JU,1453.52
Eleanora Bonaventura,72,RE,LJ66631IJ,236.15
Cirillo Verdi,54,MC,VR51096CA,894.75
Dott. Fausto Sforza,93,BS,CF54661AH,1836.62
Stefania Perini,81,AG,NO91312HS,1325.98
Sole Vittadello,33,RA,GN66903KA,1531.28
Erika Bossi-Gaiatto,76,PD,VS31976SQ,1551.85
Cecilia Bonanno-Fantini,9,TP,EC96408ZF,427.15
Carla Morandini-Rossini,65,EN,NT60447HQ,753.23
Sig.ra Bianca Mercantini,33,CB,EH31889YG,1041.17
Sig. Gastone Siffredi,53,,WI87466EL,1607.23
Sig.ra Iolanda Giolitti,69,MT,VO35770AW,1765.66
Stella Stein,54,MC,RW68313MN,201.80
Vittoria Montanariello,52,VS,KH01755KA,
Angelo Ossani,11,BO,JP29299GS,2639.26
Diana Guidone,52,CO,ZF14633QN,1379.30
Dott. Paulina Ficino,19,,NF26890TD,1230.99
Patrizia Pirelli,2,BS,JU38474RS,948.28
Gioffre Segrè,13,RC,MX58318NI,568.67
Fiorenzo Tomasini,7,AQ,XU70812NF,
Damiano Trotta-Prada,16,BN,XJ75657LD,2477.01
Adriana Gibilisco,91,UD,HV95755ZG,2545.63
Laura Grasso,61,,BW09957HH,1906.66
Alfio Procacci,7,VB,GW45976HP,2300.78
Dott. Rolando Ferrari,50,CN,NL78801GT,763.72
Lara Bonaventura,58,BT,AK95948QQ,1146.43
Marina Luciani-Ludovisi,31,PN,SI94697MW,1399.53
Emilio Fantoni,59,FG,WM46994BX,1332.86
Dott. Giulio Casadei,10,AN,WX61698KW,
Guido Ciani,84,VC,MZ56885MU,2316.73
Dott. Benito Iacobucci,93,BS,AU62547RT,771.69
Arnaldo Giacometti,62,TA,XY08936ZK,2043.64
Sig. Ivan Polizzi,23,BR,OV22126FX,2256.19
Angelina Ginesio,14,MT,AR46969PU,866.20
Federigo Greco-Palazzo,26,IM,AG68900GR,976.90
Pomponio Bulzoni,,BA,US59962CT,566.57
Ugolino Farina,17,,RZ66927SY,1811.89
Amedeo Altera,45,PC,HK56768RN,1144.90
Vincentio Morlacchi,97,PA,FT88383IQ,1361.42
Edoardo Muratori,21,,JW19628TN,
Cecilia Falier,2,VI,UB45021MI,2209.28
Gino Varano,15,MC,YO74942HL,1917.27
Sig. Pomponio Malaparte,70,RI,SD08071PB,1319.06
Lucia Tomasini,4,BR,EV15433LK,2285.50
Raffaellino Trincavelli-Favata,33,,TS54284CU,1114.25
Tatiana Montanari,52,PC,PJ17765UM,1101.41
Adriano Cagnin,62,MT,GS05206XV,1785.43
Pompeo Scandone-Almagià,94,CH,WP56012XW,1285.88
Dott. Tina Zampa,79,GE,PJ64561AN,580.33
Letizia Garobbio,62,FG,SK48537YP,2361.39
Sig. Arsenio Micheletti,5,SS,EZ21880GV,550.08
Sig. Rembrandt Greco,17,FE,,1178.49
Sig. Panfilo Gaito,30,BO,IK32767NL,1115.58
Beatrice Rocca,55,LI,IE29075PR,-228.53
Pierpaolo Pisacane,78,,OH00925CM,2870.73
Gianpaolo Antonini,47,EN,JO42469YP,2087.19
Dott. Vanessa Vasari,4,PZ,KR04809QW,2451.12
Coluccio Moneta,98,TP,JU73311OZ,746.98
Rossana Abatantuono,6,NO,SY80398FY,1912.81
rOsA bERGoglIO,86,LT,RH11365WS,1710.23
Dott. A. Torricelli ,14,VT,SM05260PQ,912.90
Sig. Dario Guarana,45,FI,EN84681CI,1859.27
Sig. Amedeo Salieri,11,PC,XQ64378IT,2100.60
Vanessa Salata,51,SI,RK39137JH,1552.39
R. A. ,82,PT,UG01821VW,1744.43
Paulina Trillini,51,SR,RL27941KO,2926.43
Silvio Panzera-Galuppi,58,SA,IP18081MO,2012.96
Martino Sagese-Donarelli,3,CA,BC91886FT,846.33
Atenulf Murialdo-Maggioli,29,IS,EV00589ZC,1960.94
Rosina Nicolini,8,BG,BU77048FT,
Sig.ra Lara Bignami,27,LI,ZU76629YT,893.33
Aurora Ceschi,93,CB,SA01947XW,2004.73
Liberto Versace,26,UD,QJ13822LD,877.03
Coriolano Babato,66,SO,FD51827QC,1917.30
Lazzaro Dovara,64,RO,YM59618GE,1008.93
Mario Civaschi,91,AV,HF86982QE,383.89
Sig.ra Michela Folliero,71,BT,NU42828AS,2179.12
Milena Dulbecco,93,RM,RN67770KU,770.45
Donna Fuseli-Mantegna,10,BI,,1524.63
Sig. Sabatino Bova,65,FC,EG93589WS,1513.82
Amanda Santoro-Ricolfi,52,CO,ZN99136OA,1901.96
cASsANDRa mOndUZZi,2,BI,ON40850DG,944.71
Rocco Costanzi,35,MI,LF09713ZO,1099.63
Melissa Ceschi,98,MO,KN85916VS,-245.38
,57,IM,HV13713IN,764.92
Alfio Tartini,27,RM,LS46130JA,1165.02
Giuseppina Comboni,84,VI,TF58867NH,2418.81
Dott. Ruggiero Treccani,11,CL,SU55787RK,1467.37
Augusto Scalfaro,90,Cz,DI42064AV,
Monica Duse,70,GE,BG59263LR,1029.62
Lisa Pignatti,98,TR,UD46567PN,638.67
Claudia Bonino,66,,AK41923TF,
Sig. Gioachino Condoleo,7,,TD06885GC,2046.34
Arnaldo Soffici,16,CO,XT32058QX,1278.10
Ornella Gussoni-Prodi,90,LE,FD81834ZF,1904.16
Liliana Raurica,73,BZ,ZX37492NS,2120.06
Napoleone Meucci-Caccioppoli,13,LO,SX32301BG,2014.17
Paoletta Fittipaldi-Franceschi,50,CZ,EZ46351NB,880.54
Liana Tasca,-55,BG,UC25473KM,1277.62
Emilio Avogadro,98,EN,PN39366OF,476.63$
Greco Lerner,28,PE,MT95412PX,1548.42
Flora Iannuzzi-Emo,34,SS,RI35029FT,1582.36
Dott. Bruno Trapanese,84,LI,LZ22438RF,1586.24
,25,PI,TK95568BX,2608.87
,64,AL,BO54388JL,512.08
Gustavo Cavanna-Letta,72,MC,BH85813QY,2296.33
Ippazio Luzi-Morpurgo,33,SA,HP38832NV,875.35
Ermanno Prati,27,CI,RF35282NK,2423.70
Susanna Sgarbi-Romiti,2,MB,IU33552TU,2514.80
Dott. Francesca Crespi,65,BO,NU93414OA,1471.63
Donatello Alboni,7,GR,XS71164AJ,2932.96
Bernardo Trincavelli,12,FE,SV97280GJ,1225.95
Tullio Romano,51,BL,NJ60391WA,1775.09
Sig.ra Susanna Bernardi,36,BZ,TY21731JN,2127.06
Nico Loredan,41,FG,UN64508JZ,
Sig. Alderano Ruberto,55,VI,SX27234IO,
Gianna Santorio,58,LO,IZ27751HG,1916.40
Benito Garibaldi,98,AO,LP75051IG,1584.31
Dott. Ivan Villarosa,6,SO,DI30999WP,685.06
Imelda Zamorani-Golgi,65,PR,HU14172EF,2188.15
Pier Foconi,13,RC,NH02938OP,690.01
Nadia Palumbo,12,PI,IR13316BB,869.14
Puccio Battaglia,83,IM,AW55247YY,577.13
Nicolò Monti,6,SA,ED02822KZ,
Dott. Paoletta Bragaglia,38,AL,La22593Ul,$2228.22
Michele Nicolini,30,NU,UO81729YL,
Ermes Camilleri,80,IS,SY31560JS,901.16
Ermes Gualtieri,,UD,YM67166NV,2313.33
Rita Tolentino-Tozzi,56,RC,AU44772ZE,1811.43
Jolanda Pelli,31,VE,YS18974TY,1558.58
Teresa Schicchi-Matteotti,29,VI,OT63934JA,1841.59
Paolo Navone,17,FE,NU11244VZ,2448.75
Bruno Beccaria,14,TN,JT65620SG,1886.91
Jolanda Mogherini,94,TV,JC74576HN,1869.13
Eleanora Cappelli,83,CO,TK95203KK,2363.69
Elisa Mondadori-Comencini,44,CO,WC84256DM,1374.85
Greco Santoro,5,TE,JQ90904RR,1177.99
Sandra Catalano,29,MI,QA15225QA,1360.26
Arsenio Fioravanti-Battisti,35,RE,FJ71297PT,1482.84
Dott. Telemaco Necci,12,,KI18344MZ,777.81
Panfilo Vigliotti,99,OR,CM24680UM,1065.12
Filippo Zecchini,33,CN,NG49820NT,1192.19
Milena Mantegazza,43,VA,NW45079KE,
Teresa Aulenti,29,NU,VL88103RX,730.07
Bruno Medici-Sbarbaro,19,FE,FH03675TD,2651.99
Valeria Pininfarina-Querini,56,AV,CV40251GO,679.56
Piergiuseppe Panicucci-Brunelleschi,94,BZ,GQ22124XW,1284.48
Amleto Ziani,43,VA,WZ66265YE,649.48
Alfio Bompiani,89,UD,LG37053CC,1803.36
Giorgia Carullo,40,CI,LV59620NF,1471.95
Geronimo Fagiani,66,RI,BY11472BI,1786.35
Annunziata Parisi,41,CH,OI26353RP,62.22
Delfino Ricci,68,LT,PJ86616VB,1142.69
Ansaldo Murri,22,CS,CZ42350BX,1430.44
Caterina Veltroni,67,MO,YN06046LH,1717.67
Ubaldo Iacovelli,24,VR,CK87497LS,1715.33
Gianpietro Anastasi,65,BI,UJ43165BK,1567.97
Valeria Polizzi,25,,IX64118LC,1940.26
Dott. Ansaldo Bergoglio,18,LT,TU96907WQ,867.60
Tina Mercantini,52,CR,BL11769YL,2123.90
Sig.ra Romana Brancaccio,43,OT,LP35708CD,1663.84
Renata Bartoli,17,CS,GV35837BP,1807.62
Mercedes Russo,96,RI,OY33746IJ,1394.93
Olga Vitturi,49,MN,HI29112CE,2430.06
Giovanna Perini,36,IS,KV01719JP,1439.77
Sylvia Fittipaldi-Tartini,46,CA,PD70818ZA,491.73
Rossana Sinisi,71,,VH38400DV,1220.31
Renata Donini,36,CT,AB87295LB,2353.90
Diana Bettoni,5,TP,CD29845RU,1220.96
Arturo Panicucci-Cagnin,92,SA,EL57456RI,1431.73
Natalia Tosi,75,VI,LS58743BH,2941.53
Bianca Guarato,72,SI,LB69345PT,1565.98
Sig. Coriolano Malaparte,41,TV,IF38842YN,1645.12
Gianluigi Grassi,54,BT,TZ67256XB,1846.21
Mariano Praga,99,BZ,KG38944QU,2306.27
Pina Finzi,35,SR,YE31680GH,1061.96
Giada Agostinelli,38,RI,GV46489EI,2223.10
Sandra Combi-Sgarbi,1,RE,WD41326UT,808.61
Donatello Cugia,84,CZ,OH47791DW,
Gioele Cagnotto,56,RA,WY39430KP,2218.71
Camillo Comeriato,49,RN,XT68969YA,1979.75
Lina Olivetti,16,AV,RE21071FC,1175.38
Roman Caironi,35,AV,RJ63915CD,2070.03
Delfino Ioppi-Ligorio,40,FI,RC16662IY,2180.54
Cirillo Prodi,-16,CI,WE01948SI,1560.20
Claudia Scarponi,81,BL,DC34462ZY,1062.64
Gioacchino Correr,78,VI,FF71651ML,1825.02
Pierpaolo Bellini,1,VC,,1417.41
Sig.ra Paoletta Zamengo,89,GR,CR51061BY,789.45
Paoletta Biagi,45,VS,MA40304SM,771.86
Fabrizia Franceschi,20,VC,LZ08885BX,1684.32
Rosaria Catalano,72,AQ,RF71729GI,2443.76
Alberico Carullo,43,CE,CI75242TZ,791.89
Elmo Saraceno,89,MN,TM87519OU,2089.88
Alina Turchi,4,TN,CA87605UP,
Rossana Beccheria-Speri,36,BA,PB20363PE,957.00
Ludovico Trotta-Palumbo,12,RM,PN38800DN,1854.22
